%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1658627660241014455,16860,1658627660199702271,gps,2,0,37.2405798,126.7740457,28.828,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627660444233581,16861,1658627660399702243,gps,2,0,37.2405812,126.774047,28.814,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000484,2
1658627660634993278,16862,1658627660599702215,gps,2,0,37.2405827,126.7740483,28.795,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000529,2
1658627660734591667,16863,1658627660699702201,gps,2,0,37.2405834,126.774049,28.79,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627660838500778,16864,1658627660799702187,gps,2,0,37.2405841,126.7740496,28.781,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627660932396431,16865,1658627660899702172,gps,2,0,37.2405851,126.7740502,28.793,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627661066310653,16866,1658627660999702159,gps,2,0,37.2405859,126.7740508,28.785,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627661231695483,16867,1658627661199702130,gps,2,0,37.2405875,126.7740522,28.808,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627661334448985,16868,1658627661299702116,gps,2,0,37.2405884,126.7740529,28.805,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627661439059785,16869,1658627661399702102,gps,2,0,37.2405893,126.7740535,28.783,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627661532226796,16870,1658627661499702088,gps,2,0,37.2405903,126.7740542,28.789,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627661631988578,16871,1658627661599702074,gps,2,0,37.2405911,126.7740548,28.782,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627661732322166,16872,1658627661699702060,gps,2,0,37.240592,126.7740555,28.779,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627661832372501,16873,1658627661799702046,gps,2,0,37.240593,126.7740562,28.775,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627661929275895,16874,1658627661899702032,gps,2,0,37.2405939,126.774057,28.781,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627662073887458,16875,1658627661999702019,gps,2,0,37.240595,126.7740577,28.771,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627662237486459,16876,1658627662199701989,gps,2,0,37.240597,126.774059,28.772,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627662341819600,16877,1658627662299701975,gps,2,0,37.2405981,126.7740596,28.771,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627662532743575,16878,1658627662499701947,gps,2,0,37.2406003,126.7740608,28.805,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627662632793871,16879,1658627662599701933,gps,2,0,37.2406013,126.7740615,28.793,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627662733085402,16880,1658627662699701919,gps,2,0,37.2406025,126.7740622,28.784,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627662829101515,16881,1658627662799701905,gps,2,0,37.2406036,126.774063,28.789,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627662928695120,16882,1658627662899701891,gps,2,0,37.2406048,126.7740637,28.79,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627663070030863,16883,1658627662999701878,gps,2,0,37.240606,126.7740645,28.781,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627663240635707,16884,1658627663199701849,gps,2,0,37.2406083,126.774066,28.778,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627663344699967,16885,1658627663299701835,gps,2,0,37.2406095,126.7740668,28.783,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627663538976017,16886,1658627663499701807,gps,2,0,37.240612,126.7740683,28.767,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627663637984252,16887,1658627663599701793,gps,2,0,37.2406132,126.7740691,28.781,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627663734467117,16888,1658627663699701779,gps,2,0,37.2406144,126.7740698,28.793,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627663830841954,16889,1658627663799701765,gps,2,0,37.2406157,126.7740706,28.792,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627663932701324,16890,1658627663899701751,gps,2,0,37.2406169,126.7740714,28.793,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627664079592759,16891,1658627663999701738,gps,2,0,37.2406182,126.7740722,28.794,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627664233777702,16892,1658627664199701709,gps,2,0,37.2406209,126.7740739,28.776,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627664342546063,16893,1658627664299701695,gps,2,0,37.2406222,126.7740748,28.78,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
